X,ID,Client,Server
2,0,1,0
6,1,1,1
13,2,1,1
36,3,1,1
39,4,1,1
44,5,1,1
49,6,1,1
54,7,1,1
59,8,1,1
63,9,1,1
2891,0,1,0
2892,0,1,1
5788,0,1,0
8685,0,1,0
8687,0,1,1
11547,0,1,0
14414,0,1,0
17312,0,1,0
17312,0,1,1
20188,0,1,0
23062,0,1,0
23066,0,1,1
25923,0,1,0
28597,1,1,1
28599,2,1,1
28618,5,1,1
28622,3,1,1
28625,4,1,1
28625,6,1,1
28627,7,1,1
28633,8,1,1
28636,9,1,1
28785,0,1,0
51649,0,1,0
54541,0,1,0
54541,0,1,1
57204,7,1,1
57206,3,1,1
57206,1,1,1
57206,5,1,1
57207,6,1,1
57207,8,1,1
57207,2,1,1
57207,4,1,1
57210,9,1,1
57411,0,1,0
60275,0,1,0
60278,0,1,1
63146,0,1,0
66038,0,1,0
68922,0,1,0
68924,0,1,1
71796,0,1,0
74685,0,1,0
74685,0,1,1
77581,0,1,0
80473,0,1,0
85814,4,1,0
85819,9,1,1
85819,5,1,1
85819,3,1,1
85819,1,1,1
85819,6,1,1
85820,2,1,1
85820,7,1,1
85820,8,1,1
88703,4,1,0
88703,4,1,1
91563,4,1,0
94461,4,1,0
94464,4,1,1
97360,4,1,0
100251,4,1,0
103116,4,1,0
103119,4,1,1
103280,0,1,1
106014,4,1,0
108907,4,1,0
108909,4,1,1
111803,4,1,0
114407,9,1,1
114410,7,1,1
114411,5,1,1
114411,6,1,1
114411,2,1,1
114412,3,1,1
114412,1,1,1
114412,8,1,1
114677,4,1,0
131870,0,1,0
134763,0,1,0
134765,0,1,1
137517,4,1,1
137642,0,1,0
140540,0,1,0
140542,0,1,1
143011,8,1,1
143014,1,1,1
143014,9,1,1
143015,2,1,1
143015,6,1,1
143015,7,1,1
143015,3,1,1
143016,5,1,1
143433,0,1,0
146327,0,1,0
149215,0,1,0
149218,0,1,1
152110,0,1,0
155004,0,1,0
155007,0,1,1
157893,0,1,0
160768,0,1,0
166118,4,1,0
168981,4,1,0
168982,4,1,1
171584,8,1,1
171586,2,1,1
171587,1,1,1
171587,3,1,1
171587,6,1,1
171587,9,1,1
171587,7,1,1
171588,5,1,1
171849,4,1,0
174735,4,1,0
174737,4,1,1
177627,4,1,0
180497,4,1,0
183364,4,1,0
183366,4,1,1
183589,0,1,1
186232,4,1,0
189117,4,1,1
189118,4,1,0
192011,4,1,0
194896,4,1,0
200190,1,1,0
200194,5,1,1
200197,8,1,1
200197,2,1,1
200197,7,1,1
200197,6,1,1
200198,3,1,1
200198,9,1,1
203070,1,1,0
203070,1,1,1
205959,1,1,0
208850,1,1,0
208853,1,1,1
211750,1,1,0
212194,0,1,1
214612,1,1,0
217501,1,1,0
217504,1,1,1
217700,4,1,1
220394,1,1,0
223283,1,1,0
223284,1,1,1
226177,1,1,0
228774,6,1,1
228776,8,1,1
228777,5,1,1
228777,2,1,1
228777,9,1,1
228777,7,1,1
228778,3,1,1
229074,1,1,0
240800,0,1,0
243694,0,1,0
243695,0,1,1
246275,4,1,1
246585,0,1,0
249482,0,1,0
249483,0,1,1
251884,1,1,1
252376,0,1,0
255257,0,1,0
257353,3,1,1
257356,9,1,1
257356,8,1,1
257357,5,1,1
257357,2,1,1
257359,7,1,1
257359,6,1,1
258152,0,1,0
258155,0,1,1
261047,0,1,0
263909,0,1,0
263912,0,1,1
266802,0,1,0
269697,0,1,0
274883,4,1,0
277761,4,1,1
277762,4,1,0
280490,1,1,1
280653,4,1,0
283546,4,1,0
283549,4,1,1
285960,2,1,1
285963,6,1,1
285964,7,1,1
285964,8,1,1
285964,9,1,1
285964,5,1,1
285964,3,1,1
286434,4,1,0
289324,4,1,0
292206,4,1,0
292208,4,1,1
292489,0,1,1
295098,4,1,0
297993,4,1,0
297993,4,1,1
300886,4,1,0
303778,4,1,0
309092,1,1,0
311988,1,1,0
311991,1,1,1
314565,2,1,1
314568,3,1,1
314568,8,1,1
314569,6,1,1
314568,9,1,1
314569,7,1,1
314569,5,1,1
314864,1,1,0
317759,1,1,0
317761,1,1,1
320654,1,1,0
321080,0,1,1
323551,1,1,0
326415,1,1,1
326417,1,1,0
326568,4,1,1
329309,1,1,0
332201,1,1,0
332202,1,1,1
335094,1,1,0
337989,1,1,0
343171,5,1,0
343174,6,1,1
343174,3,1,1
343174,8,1,1
343175,9,1,1
343175,7,1,1
343176,2,1,1
346063,5,1,0
346065,5,1,1
348952,5,1,0
349687,0,1,1
351842,5,1,0
351843,5,1,1
354738,5,1,0
355157,4,1,1
357611,5,1,0
360505,5,1,0
360509,5,1,1
360811,1,1,1
363396,5,1,0
366273,5,1,0
366274,5,1,1
369167,5,1,0
371784,2,1,1
371787,8,1,1
371788,6,1,1
371788,3,1,1
371788,9,1,1
371788,7,1,1
372062,5,1,0
378263,0,1,0
381125,0,1,0
381126,0,1,1
383761,4,1,1
384002,0,1,0
386878,0,1,0
386880,0,1,1
389388,1,1,1
389740,0,1,0
392614,0,1,0
394885,5,1,1
395494,0,1,0
395497,0,1,1
398388,0,1,0
400365,7,1,1
400368,2,1,1
400368,6,1,1
400368,3,1,1
400368,9,1,1
400369,8,1,1
401249,0,1,0
401249,0,1,1
404111,0,1,0
406984,0,1,0
412368,4,1,0
415260,4,1,0
415262,4,1,1
417992,1,1,1
418121,4,1,0
420990,4,1,0
420990,4,1,1
423487,5,1,1
423854,4,1,0
426731,4,1,0
428946,9,1,1
428949,6,1,1
428949,2,1,1
428950,3,1,1
428950,8,1,1
428951,7,1,1
429598,4,1,0
429600,4,1,1
429852,0,1,1
432492,4,1,0
435354,4,1,0
435357,4,1,1
438245,4,1,0
441141,4,1,0
446566,1,1,0
449438,1,1,0
449439,1,1,1
452062,5,1,1
452302,1,1,0
455190,1,1,0
455191,1,1,1
457549,8,1,1
457551,9,1,1
457551,3,1,1
457551,7,1,1
457551,6,1,1
457552,2,1,1
458078,1,1,0
458455,0,1,1
460967,1,1,0
463857,1,1,0
463857,1,1,1
463940,4,1,1
466738,1,1,0
469629,1,1,0
469631,1,1,1
472495,1,1,0
475360,1,1,0
480639,5,1,0
483516,5,1,0
483519,5,1,1
486124,7,1,1
486125,2,1,1
486125,9,1,1
486126,6,1,1
486126,8,1,1
486126,3,1,1
486399,5,1,0
487059,0,1,1
489267,5,1,0
489268,5,1,1
492154,5,1,0
492521,4,1,1
495046,5,1,0
497936,5,1,0
497940,5,1,1
498239,1,1,1
500810,5,1,0
503702,5,1,0
503705,5,1,1
506597,5,1,0
509493,5,1,0
514733,7,1,0
514734,3,1,1
514735,2,1,1
514735,9,1,1
514735,6,1,1
514735,8,1,1
515669,0,1,1
517601,7,1,0
517605,7,1,1
520496,7,1,0
521105,4,1,1
523394,7,1,0
523394,7,1,1
526257,7,1,0
526829,1,1,1
529151,7,1,0
532047,7,1,0
532050,7,1,1
532285,5,1,1
534941,7,1,0
537838,7,1,0
537838,7,1,1
540726,7,1,0
543311,8,1,1
543312,3,1,1
543312,2,1,1
543315,9,1,1
543315,6,1,1
543617,7,1,0
544277,0,1,1
549709,4,1,0
552573,4,1,0
552574,4,1,1
555439,4,1,0
555443,1,1,1
558330,4,1,0
558331,4,1,1
560889,5,1,1
561229,4,1,0
564108,4,1,0
566445,7,1,1
566999,4,1,0
567001,4,1,1
569891,4,1,0
571918,6,1,1
571918,8,1,1
571918,3,1,1
571921,2,1,1
571921,9,1,1
572784,4,1,0
572786,4,1,1
572862,0,1,1
575653,4,1,0
578549,4,1,0
584033,1,1,0
586908,1,1,0
586912,1,1,1
589498,5,1,1
589804,1,1,0
592698,1,1,0
592699,1,1,1
595048,7,1,1
595594,1,1,0
598481,1,1,0
600527,9,1,1
600530,8,1,1
600530,6,1,1
600531,3,1,1
600531,2,1,1
601376,4,1,1
601379,1,1,0
601379,1,1,1
601448,0,1,1
604275,1,1,0
607156,1,1,0
607159,1,1,1
610043,1,1,0
612908,1,1,0
618105,5,1,0
620977,5,1,0
620977,5,1,0
623652,7,1,1
623858,5,1,0
626724,5,1,0
626725,5,1,1
629118,2,1,1
629118,6,1,1
629118,8,1,1
629118,3,1,1
629119,9,1,1
629614,5,1,0
629982,4,1,1
630025,0,1,1
632474,5,1,0
635355,5,1,0
635358,5,1,1
635764,1,1,1
638247,5,1,0
641122,5,1,0
641123,5,1,1
643996,5,1,0
646881,5,1,0
652236,7,1,0
655125,7,1,0
655128,7,1,1
657712,3,1,1
657714,9,1,1
657714,6,1,1
657714,8,1,1
657715,2,1,1
657993,7,1,0
658587,4,1,1
658601,0,1,1
660869,7,1,0
660871,7,1,1
663750,7,1,0
664370,1,1,1
666647,7,1,0
669538,7,1,0
669541,7,1,1
669705,5,1,1
672437,7,1,0
675330,7,1,0
675333,7,1,1
678222,7,1,1
